,발생일,꼬리물기,불법 유턴,불법 좌회전,신호 위반,역주행,정지선 침범,중앙선 침범,지정 차로 위반,진로 변경 방법 위반
0,2022-01-01,0,19,50,58,11,47,32,3,75
1,2022-01-02,1,21,43,96,12,51,40,8,65
2,2022-01-03,2,27,88,125,10,54,39,19,102
3,2022-01-04,2,24,103,137,8,58,35,23,110
4,2022-01-05,3,30,104,157,13,46,64,24,114
5,2022-01-06,4,25,108,147,14,67,48,19,127
6,2022-01-07,3,25,86,160,19,75,53,20,136
7,2022-01-08,5,21,73,98,10,69,35,18,102
8,2022-01-09,1,26,57,112,6,53,26,6,79
9,2022-01-10,8,24,105,133,11,51,56,28,128
10,2022-01-11,4,34,83,140,10,58,59,16,84
11,2022-01-12,6,30,109,146,11,80,52,23,118
12,2022-01-13,2,24,104,147,8,76,51,17,124
13,2022-01-14,6,32,117,157,11,77,52,19,148
14,2022-01-15,3,17,81,114,9,64,28,15,118
15,2022-01-16,1,14,61,117,11,57,47,15,79
16,2022-01-17,2,32,93,146,8,54,43,12,114
17,2022-01-18,0,27,104,123,12,58,57,23,121
18,2022-01-19,4,24,103,145,7,56,43,13,132
19,2022-01-20,6,25,109,154,15,67,52,19,127
20,2022-01-21,3,35,115,160,16,57,71,25,119
21,2022-01-22,5,20,82,142,8,76,57,26,105
22,2022-01-23,2,18,69,147,12,56,42,18,88
23,2022-01-24,5,35,89,140,11,57,49,22,128
24,2022-01-25,5,37,109,145,16,55,71,19,133
25,2022-01-26,9,46,130,186,20,78,82,48,151
26,2022-01-27,6,24,137,173,21,65,64,35,142
27,2022-01-28,7,35,115,167,20,101,73,33,125
28,2022-01-29,4,34,75,121,8,83,43,18,109
29,2022-01-30,1,12,62,100,5,57,27,6,64
30,2022-01-31,2,16,55,75,6,59,26,11,56
31,2022-02-01,1,4,34,93,4,48,20,11,60
32,2022-02-02,5,10,47,85,10,52,30,10,61
33,2022-02-03,8,22,90,130,14,54,50,17,97
34,2022-02-04,6,27,107,133,13,68,63,20,115
35,2022-02-05,3,21,78,130,9,67,35,20,71
36,2022-02-06,2,14,49,98,9,57,34,16,72
37,2022-02-07,5,29,92,121,9,55,45,14,104
38,2022-02-08,2,34,132,148,15,59,49,24,130
39,2022-02-09,6,33,132,185,18,75,61,23,134
40,2022-02-10,8,28,99,155,8,63,57,20,122
41,2022-02-11,0,19,45,62,3,10,14,5,53
42,2022-02-12,0,6,16,16,1,3,9,0,19
43,2022-02-13,0,4,19,13,2,5,12,0,43
44,2022-02-14,0,14,41,33,4,1,18,3,60
45,2022-02-15,1,6,28,27,2,4,16,1,45
46,2022-02-16,1,4,33,31,3,4,7,7,50
47,2022-02-17,0,9,32,32,1,4,11,5,59
48,2022-02-18,0,5,27,38,3,1,20,0,40
49,2022-02-19,0,1,21,24,3,9,7,3,23
50,2022-02-20,1,7,33,20,2,1,6,3,50
51,2022-02-21,0,9,31,28,2,7,7,9,53
52,2022-02-22,1,19,40,30,5,2,20,2,64
53,2022-02-23,0,8,45,20,0,4,5,0,46
54,2022-02-24,1,5,34,29,1,2,14,3,45
55,2022-02-25,1,11,35,35,3,9,14,4,48
56,2022-02-26,0,5,25,14,2,2,10,5,27
57,2022-02-27,1,7,28,21,5,5,10,1,31
58,2022-02-28,3,10,40,27,3,1,14,2,51
59,2022-03-01,0,4,29,25,1,1,18,0,49
60,2022-03-02,1,8,41,25,4,2,15,2,62
61,2022-03-03,1,6,43,28,1,6,5,2,80
62,2022-03-04,0,6,39,22,5,2,11,15,34
63,2022-03-05,0,8,22,24,2,2,16,5,33
64,2022-03-06,0,5,14,15,1,3,11,0,25
65,2022-03-07,4,23,62,84,5,25,38,7,127
66,2022-03-08,6,40,107,155,12,45,46,22,158
67,2022-03-09,1,18,66,101,7,26,50,17,113
68,2022-03-10,5,33,93,113,12,58,79,20,153
69,2022-03-11,6,38,108,177,13,55,55,25,134
70,2022-03-12,1,37,64,130,15,63,40,12,109
71,2022-03-13,0,23,79,123,9,44,43,10,113
72,2022-03-14,7,40,116,134,6,51,54,30,142
73,2022-03-15,4,48,119,177,15,44,49,27,151
74,2022-03-16,6,47,143,199,24,63,85,18,159
75,2022-03-17,8,39,115,192,25,65,58,25,175
76,2022-03-18,7,43,126,152,18,74,74,30,197
77,2022-03-19,2,32,92,148,11,56,60,13,129
78,2022-03-20,1,22,65,131,9,40,53,11,112
79,2022-03-21,4,47,126,173,18,75,71,38,183
80,2022-03-22,3,33,107,176,13,68,70,24,187
81,2022-03-23,7,49,141,203,12,84,71,41,201
82,2022-03-24,12,30,112,180,13,56,57,15,173
83,2022-03-25,8,53,130,191,18,69,69,35,199
84,2022-03-26,0,36,70,168,17,56,77,14,136
85,2022-03-27,4,34,71,155,15,50,50,8,145
86,2022-03-28,7,38,154,183,13,84,64,39,205
87,2022-03-29,2,37,158,219,19,68,81,36,201
88,2022-03-30,7,56,153,211,20,74,72,33,220
89,2022-03-31,4,55,148,218,21,63,82,23,211
90,2022-04-01,11,49,137,233,20,70,71,23,196
91,2022-04-02,1,46,112,146,14,82,72,22,163
92,2022-04-03,2,30,65,131,14,59,58,12,152
93,2022-04-04,9,39,146,198,27,58,95,37,221
94,2022-04-05,10,59,178,241,23,53,105,43,239
95,2022-04-06,13,50,160,229,19,87,74,32,247
96,2022-04-07,12,52,171,232,20,68,82,36,230
97,2022-04-08,11,47,123,236,25,76,86,36,225
98,2022-04-09,6,44,136,200,15,99,80,31,212
99,2022-04-10,2,29,97,156,17,64,44,22,154
100,2022-04-11,6,44,175,197,17,53,78,34,236
101,2022-04-12,10,49,172,223,17,88,78,39,265
102,2022-04-13,8,31,189,214,28,66,79,46,233
103,2022-04-14,7,51,161,190,23,64,103,28,217
104,2022-04-15,14,44,184,247,19,69,75,27,255
105,2022-04-16,5,45,118,173,25,74,69,35,175
106,2022-04-17,4,29,101,161,15,60,49,22,130
107,2022-04-18,7,55,163,211,14,78,88,41,235
108,2022-04-19,9,49,202,259,14,92,95,37,238
109,2022-04-20,9,55,175,256,18,69,97,50,225
110,2022-04-21,15,61,179,270,28,75,117,41,267
111,2022-04-22,12,54,195,250,36,89,92,42,299
112,2022-04-23,3,55,132,196,21,78,60,20,182
113,2022-04-24,3,23,111,176,27,48,57,21,165
114,2022-04-25,10,43,201,218,18,73,70,40,242
115,2022-04-26,12,44,165,219,15,79,70,27,233
116,2022-04-27,0,53,184,236,27,65,93,51,277
117,2022-04-28,18,66,174,267,24,54,114,29,289
118,2022-04-29,10,52,170,201,20,81,76,47,274
119,2022-04-30,6,44,130,186,19,77,73,21,195
120,2022-05-01,6,26,102,192,15,61,58,21,174
121,2022-05-02,11,53,155,201,27,84,75,21,174
122,2022-05-03,4,62,192,270,23,68,114,52,248
123,2022-05-04,25,46,207,286,24,57,92,41,289
124,2022-05-05,4,34,97,173,30,53,75,18,143
125,2022-05-06,6,51,168,183,11,73,92,62,227
126,2022-05-07,5,38,112,216,16,66,72,26,177
127,2022-05-08,1,47,139,171,19,64,68,20,221
128,2022-05-09,19,54,190,265,36,65,108,45,300
129,2022-05-10,14,58,149,245,27,63,98,35,280
130,2022-05-11,12,59,189,280,17,73,102,34,291
131,2022-05-12,9,51,192,244,19,73,104,38,294
132,2022-05-13,11,65,198,274,28,84,112,48,260
133,2022-05-14,8,35,111,177,21,67,72,35,186
134,2022-05-15,4,33,82,162,16,62,65,12,133
135,2022-05-16,7,48,182,263,24,74,87,42,313
136,2022-05-17,13,54,179,263,22,94,96,46,263
137,2022-05-18,10,48,168,258,22,77,102,37,285
138,2022-05-19,11,42,200,214,36,67,106,31,280
139,2022-05-20,14,62,196,247,24,75,91,41,268
140,2022-05-21,5,37,117,157,36,80,92,33,164
141,2022-05-22,6,37,116,171,8,45,48,29,157
142,2022-05-23,14,54,175,259,18,68,102,48,262
143,2022-05-24,18,60,200,241,30,62,91,38,242
144,2022-05-25,20,56,226,261,24,64,98,41,283
145,2022-05-26,16,62,198,279,22,61,93,41,240
146,2022-05-27,18,67,209,282,34,83,119,30,255
147,2022-05-28,7,41,125,206,17,77,58,25,187
148,2022-05-29,2,36,94,174,8,57,52,15,153
149,2022-05-30,12,63,220,267,26,74,106,38,270
150,2022-05-31,15,55,203,234,26,70,95,28,263
151,2022-06-01,3,37,113,157,17,76,68,17,154
152,2022-06-02,5,63,160,203,20,54,86,46,214
153,2022-06-03,9,57,168,234,24,71,89,42,217
154,2022-06-04,12,60,147,197,19,66,70,30,193
155,2022-06-05,6,24,94,134,14,52,46,9,156
156,2022-06-06,4,26,98,192,13,54,58,15,162
157,2022-06-07,8,43,200,253,18,64,73,26,278
158,2022-06-08,13,62,212,238,18,66,123,42,312
159,2022-06-09,6,58,208,208,31,97,127,35,299
160,2022-06-10,10,47,192,233,63,75,144,54,244
161,2022-06-11,6,48,123,187,18,57,70,32,194
162,2022-06-12,2,35,109,166,13,47,52,24,158
163,2022-06-13,8,63,189,256,26,77,129,38,258
164,2022-06-14,6,52,193,228,29,69,103,31,283
165,2022-06-15,16,59,227,279,43,79,133,52,296
166,2022-06-16,14,64,238,239,26,65,144,28,266
167,2022-06-17,13,61,198,267,30,93,109,44,297
168,2022-06-18,5,45,141,183,19,63,80,19,222
169,2022-06-19,5,39,98,174,18,58,65,11,149
170,2022-06-20,9,56,230,290,24,66,113,47,280
