,발생일,위도,경도,지역
2638,2022-01-02,37.54811169065214,126.94200434058946,마포구
2633,2022-01-03,36.65141666666667,127.488905,청주시 청원구
2636,2022-01-03,37.62239447181115,127.08670616494442,노원구
2637,2022-01-04,37.51322033935573,127.0353948103788,강남구
2635,2022-01-04,37.52856811120965,126.6494785429614,인천광역시 서구
2634,2022-01-05,35.843919817886594,128.50736089905658,달서구
2657,2022-01-05,37.17673685117703,126.9360961099036,화성시
2663,2022-01-05,37.3357898280001,127.10900629582044,용인시수지구
2653,2022-01-06,36.99049016690579,127.12169357855385,평택시
2642,2022-01-06,37.12620504334708,127.07948069203826,평택시
2650,2022-01-06,37.40403461759696,126.94936665256,안양시동안구
2652,2022-01-06,37.4224335,126.6247435,연수구
2656,2022-01-07,35.80775455970133,128.52854291321933,달서구
2648,2022-01-07,37.86705860352569,127.7222186185044,춘천시
2649,2022-01-07,37.86713968255808,127.72221940989331,춘천시
2662,2022-01-08,35.195594787597656,129.1083984375,동래구
2659,2022-01-08,35.8403255,127.1316538,전주시덕진구
2661,2022-01-08,37.1972867,127.0986855,화성시
2644,2022-01-08,37.276986,127.0308865,수원시 팔달구
2660,2022-01-08,37.586954317842974,126.88699975596091,마포구
2654,2022-01-09,36.633827209472656,127.44772338867188,청주시 흥덕구
2655,2022-01-10,35.84707529033164,128.612566770743,수성구
2645,2022-01-10,35.878577623460494,128.53480514200126,대구광역시 서구
2646,2022-01-10,35.878604898870776,128.53478629098677,대구광역시 서구
2641,2022-01-10,36.35847226779634,127.36372731387269,대전광역시 서구
2640,2022-01-10,36.35847260689757,127.3636159003152,대전광역시 서구
2639,2022-01-10,36.358473250903714,127.36340421455088,대전광역시 서구
2643,2022-01-10,37.4541775,126.6690803,미추홀구
2658,2022-01-10,37.45696014948333,126.70914235859412,남동구
2651,2022-01-11,36.3207164413285,127.41416772742,대전광역시 중구
2647,2022-01-11,37.39623625458027,126.96883599203264,안양시동안구
2597,2022-01-11,37.50477981567383,127.0864486694336,송파구
2596,2022-01-11,37.52396656993054,126.80485811426136,부천시
2590,2022-01-12,35.21494548102808,128.67518018334542,창원시 성산구
2591,2022-01-12,35.214986024456074,128.67518101649912,창원시 성산구
2608,2022-01-12,35.95831869717569,126.97682103696772,익산시
2606,2022-01-12,36.00087107568518,129.38446901141134,포항시 남구
2592,2022-01-12,36.8275611,127.0994251,천안시서북구
2607,2022-01-12,37.524603587812415,126.87628461153524,양천구
2593,2022-01-13,35.29328874737301,128.7847457721207,김해시
2600,2022-01-13,36.97871017456055,126.70309448242188,당진시
2594,2022-01-14,35.157575,129.0590666666667,부산진구
2595,2022-01-14,35.95831871000262,126.97688754761718,익산시
2604,2022-01-14,37.3263665734917,127.1097824836646,용인시수지구
2598,2022-01-14,37.35069292853888,126.94457327582388,군포시
2599,2022-01-14,37.5013237,127.0675661,강남구
2601,2022-01-14,37.52462154262635,126.87622236219664,양천구
2609,2022-01-15,36.35148185573003,127.3781886041733,대전광역시 서구
2602,2022-01-15,37.2465270379282,127.03216735932088,수원시 권선구
2605,2022-01-15,37.369963947092046,126.96627852108026,의왕시
2611,2022-01-16,37.72973521671271,126.70760233676896,파주시
2610,2022-01-17,36.35147166666667,127.348175,유성구
2603,2022-01-17,36.3997124827696,127.40491949750384,유성구
2631,2022-01-19,36.6279080593948,127.474396553591,청주시 서원구
2622,2022-01-19,37.4015499,126.9693071,안양시동안구
2613,2022-01-19,37.5047802177533,126.76323761418574,부천시
2612,2022-01-19,37.57160485454512,127.01581656306274,종로구
2623,2022-01-20,37.17255680500365,127.10656441205442,화성시
2630,2022-01-20,37.2124009,127.0382009,화성시
2627,2022-01-20,37.27638543701094,127.1440265893281,용인시기흥구
2629,2022-01-20,37.566405,126.96649166666668,종로구
2616,2022-01-20,37.61282605967499,127.0075148179837,성북구
2615,2022-01-20,37.61285759948528,127.00743270743732,성북구
2628,2022-01-21,35.22771935457304,128.76882165038347,김해시
2614,2022-01-21,37.360325,127.1578971666667,광주시
2626,2022-01-21,37.466635837252205,127.13338922155565,성남시 수정구
2619,2022-01-22,35.172298431396484,129.13270568847656,해운대구
2621,2022-01-22,35.969664070004754,126.71563772725364,군산시
2620,2022-01-22,37.2587913483212,126.95710135654556,수원시 권선구
2618,2022-01-22,37.2782430396681,127.446755595021,이천시
2632,2022-01-22,37.621469879813866,127.14694949900404,남양주시
2624,2022-01-23,35.79613982731784,128.6269724612231,달성군
2625,2022-01-23,37.440705,127.131875,성남시 수정구
2554,2022-01-24,35.086131900565086,128.9520289314427,사하구
2528,2022-01-24,36.822810115769,127.11211887488882,천안시서북구
2551,2022-01-24,37.533989032412606,126.90188420240348,영등포구
2617,2022-01-24,37.5523644,127.1937198,하남시
2525,2022-01-24,37.55561887778289,127.12942532136928,강동구
2527,2022-01-25,35.82596472971425,128.5297828530748,달서구
2545,2022-01-25,36.35445278094933,127.36380888171352,대전광역시 서구
2530,2022-01-25,36.36477903928687,127.33814024656026,유성구
2540,2022-01-25,37.55370796709341,127.02119970660956,성동구
2544,2022-01-25,37.626899886616144,126.85800720590888,고양시덕양구
2531,2022-01-26,35.13426487148468,126.87173414376828,광주광역시 서구
2555,2022-01-26,35.1798718,126.8110799,광산구
2536,2022-01-26,35.22751871612809,126.86311827278236,광주광역시 북구
2535,2022-01-26,35.899975,128.6154783333333,대구광역시 북구
2542,2022-01-26,36.60909917065067,127.44177079782592,청주시 서원구
2539,2022-01-26,37.012406013893184,126.99759823927012,평택시
2553,2022-01-26,37.36032833333334,127.1579138333333,광주시
2556,2022-01-26,37.42526467353752,126.71745017788793,남동구
2534,2022-01-26,37.5217395326653,126.9652996965684,용산구
2529,2022-01-27,34.93968744408307,127.54815476791188,순천시
2543,2022-01-27,35.20176822377443,129.08386794839709,동래구
2550,2022-01-27,36.3559211,127.367112,대전광역시 서구
2546,2022-01-27,37.0446436,127.0437178,평택시
2541,2022-01-27,37.55181270138648,126.81657195099088,서울특별시 강서구
2526,2022-01-27,37.62245797471342,126.69766690820862,김포시
2552,2022-01-28,35.890956969791404,128.586985850765,대구광역시 북구
2548,2022-01-28,36.34897464021057,127.398796895626,대전광역시 서구
2549,2022-01-28,36.34898143608138,127.39878579013627,대전광역시 서구
2532,2022-01-28,37.2218757,126.9742924,화성시
2547,2022-01-28,37.53897166666667,126.88580333333331,양천구
2533,2022-01-28,37.55817836364832,127.0800733214446,광진구
2557,2022-01-28,37.5592511,126.8941943,마포구
2560,2022-01-29,36.823636407828985,127.1239451962715,천안시서북구
2538,2022-01-29,37.50082778930664,127.06695556640624,강남구
2537,2022-01-29,37.50085067749024,127.06697082519533,강남구
2588,2022-01-29,37.52955469089877,126.86408057319404,양천구
2581,2022-01-30,37.13149892157416,127.0722274700658,오산시
2563,2022-01-31,35.81420135498047,128.52435302734375,달서구
2567,2022-01-31,37.57023108291082,126.83797452578986,서울특별시 강서구
2587,2022-02-01,37.4712028,126.6662586,미추홀구
2571,2022-02-02,35.84987694078208,128.5371932751171,달서구
2575,2022-02-02,35.87723838121215,128.6289534176034,대구광역시 동구
2572,2022-02-02,36.34583587554558,127.4115469821492,대덕구
2577,2022-02-02,36.35983276367188,127.3793716430664,대전광역시 서구
2578,2022-02-02,37.19691463307473,127.09865780865138,화성시
2565,2022-02-03,34.8684584225394,128.636881980612,거제시
2566,2022-02-03,36.63519287109375,127.46881103515624,청주시 서원구
2558,2022-02-03,36.98337536962389,127.91460831220758,충주시
2586,2022-02-03,37.28148651123047,126.8476791381836,안산시
2582,2022-02-03,37.53777313232422,127.15223693847656,강동구
2583,2022-02-03,37.71006635162607,126.76018601884223,파주시
2585,2022-02-03,37.710086649311286,126.76019871181666,파주시
2584,2022-02-03,37.71009794021749,126.7602128514183,파주시
2574,2022-02-04,35.15930685310741,126.7151949433727,광산구
2569,2022-02-04,35.87096798940196,127.07294845430688,전주시덕진구
2579,2022-02-04,35.95938726851943,126.71073056523272,군산시
2564,2022-02-04,36.34900174933984,127.39877475357704,대전광역시 서구
2570,2022-02-04,36.35101333333333,127.441995,대전광역시 동구
2573,2022-02-04,37.75161666666666,127.03341666666668,의정부시
2559,2022-02-05,35.81352688733432,127.11303949697316,전주시완산구
2589,2022-02-05,37.196968517727775,127.09887188712702,화성시
2580,2022-02-05,37.44732946102942,126.80367297418655,시흥시
2576,2022-02-06,35.09661988021089,129.03057978534403,부산
2568,2022-02-06,37.465371887137714,127.04345724351803,서초구
2508,2022-02-07,35.82287366263491,128.7490832878977,경산시
2561,2022-02-07,35.86594676453299,128.8366079790035,경산시
2503,2022-02-07,36.3210171,127.414822,대전광역시 중구
2520,2022-02-07,36.786095,127.1177445,천안시동남구
2562,2022-02-07,37.71458305355332,127.19828045846636,남양주시
2505,2022-02-08,36.35758382759168,127.40060114715104,대덕구
2504,2022-02-08,37.50378937152943,126.90999874061347,영등포구
2509,2022-02-09,36.15644402129377,128.33514536081114,구미시
2521,2022-02-09,36.33932,127.3479432,대전광역시 서구
2513,2022-02-09,36.65280363160538,127.45385552538994,청주시 흥덕구
2510,2022-02-09,37.32864608540101,127.11463758617404,용인시수지구
2519,2022-02-09,37.36861394137996,127.14862242710994,성남시 분당구
2511,2022-02-09,37.46537399291992,127.1021728515625,강남구
2507,2022-02-10,35.25380034914071,128.62068269682806,창원시 의창구
2514,2022-02-10,35.32679748535156,129.015869140625,양산시
2515,2022-02-10,35.825960436273,128.52976617253154,달서구
2512,2022-02-10,35.83222429307474,127.1072832212247,전주시완산구
2516,2022-02-10,35.83394457563669,128.7246132129126,경산시
2517,2022-02-10,37.50097077812815,127.06737966468192,강남구
2518,2022-02-10,37.54407722313122,127.03596385873855,성동구
2506,2022-02-10,37.5519567,126.677659,인천광역시 서구
2522,2022-02-15,34.931868011480695,127.72605784065216,광양시
2523,2022-02-16,37.514184984024126,127.1566247811008,하남시
2524,2022-02-20,37.31006984239035,127.08417472779183,용인시수지구
2488,2022-02-22,37.48446622407317,126.7940500269355,부천시
2492,2022-02-24,37.64178676467228,127.06829977337192,노원구
2487,2022-02-25,37.71680509662392,126.7317204637591,파주시
2486,2022-02-27,37.68675404460472,127.05194731499633,의정부시
2489,2022-02-28,37.38556579080652,127.12184927904389,성남시 분당구
2491,2022-02-28,37.38884797254105,127.12381944022674,성남시 분당구
2490,2022-02-28,37.388866087515225,127.12372913209312,성남시 분당구
2497,2022-03-02,37.68675407454852,127.05187929147544,의정부시
2502,2022-03-03,37.61257057370666,126.7315743644642,김포시
2498,2022-03-07,35.13281552277396,126.89213349935248,광주광역시 서구
2501,2022-03-07,37.51743895767913,126.92889532915436,영등포구
2500,2022-03-07,37.68165383892024,126.74710597144296,고양시일산서구
2499,2022-03-07,37.77158687845918,126.72425287303918,파주시
2495,2022-03-08,35.52961540527631,129.10164139604046,울주군
2427,2022-03-08,35.84219559610278,128.69935586158795,수성구
2496,2022-03-08,35.8628187,128.5749359,대구광역시 중구
2493,2022-03-08,37.14304690554915,127.07794503739316,오산시
2433,2022-03-08,37.48030637356982,127.1186337676854,송파구
2494,2022-03-08,37.5119074,127.1083326,송파구
2455,2022-03-09,35.9859178,128.3977262,칠곡군
2442,2022-03-10,35.08591771513391,128.98904234943214,사하구
2430,2022-03-10,35.10099863074471,128.95849399210078,사하구
2441,2022-03-10,37.3601188659668,126.96734619140624,의왕시
2435,2022-03-10,37.481475830078125,126.79539489746094,부천시
2432,2022-03-10,37.51781183201743,126.93490146018536,영등포구
2454,2022-03-11,34.891732076374026,128.62426061249943,거제시
2440,2022-03-11,36.58622516187389,127.4662653830278,청주시 서원구
2453,2022-03-11,37.164805073543874,127.09370158175254,화성시
2449,2022-03-11,37.4991455078125,126.66968536376952,인천광역시 서구
2452,2022-03-11,37.50259504708404,127.0427832833827,강남구
2426,2022-03-11,37.70402600348856,126.7571526119,파주시
2431,2022-03-12,35.84409448743298,127.12740361298988,전주시덕진구
2434,2022-03-14,37.475955137581714,127.12669889581072,송파구
